"","Nr","Code","Name","Group","Source","Timespan","n","decimals","pr_tied","pr_NAs","rt_tied","rt_NAs","pr_unique","pr_ties","rt_unique","rt_ties","pr_avg_tie_length","pr_max_tie_length","rt_avg_tie_length","rt_max_tie_length"
"214","25","NYSE_C","New York Stock Exchange Composite","AMER","_IN.csv","2010-01-01 to 2021-07-15","2903","1","144","0","2","0","2830","71","2902","1","1.02579505300353","4","1.00034458993797","2"
"215","25","NYSE_C","New York Stock Exchange Composite","AMER","_IN.csv","2000-01-01 to 2009-12-31","2515","1","122","0","0","0","2453","60","2515","0","1.02527517325724","3","1","1"
"216","25","NYSE_C","New York Stock Exchange Composite","AMER","_IN.csv","1990-01-01 to 1999-12-31","2528","1","280","0","7","0","2381","133","2522","1","1.0617387652247","4","1.00237906423473","7"
"217","25","NYSE_C","New York Stock Exchange Composite","AMER","_IN.csv","1980-01-01 to 1989-12-31","2548","1","663","0","49","0","2192","307","2507","8","1.16240875912409","4","1.01635420821699","35"
"218","25","NYSE_C","New York Stock Exchange Composite","AMER","_IN.csv","1970-01-01 to 1979-12-31","4","1","0","0","0","0","4","0","4","0","1","1","1","1"
"219","25","NYSE_C","New York Stock Exchange Composite","AMER","_EI.csv","1950-01-01 to 2021-07-15","5023","2","20","0","0","0","5013","10","5023","0","1.00199481348494","2","1","1"
"220","25","NYSE_C","New York Stock Exchange Composite","AMER","_EI.csv","2010-01-01 to 2021-07-15","2903","2","2","0","0","0","2902","1","2903","0","1.00034458993797","2","1","1"
"221","25","NYSE_C","New York Stock Exchange Composite","AMER","_EI.csv","2000-01-01 to 2009-12-31","2120","2","12","0","0","0","2114","6","2120","0","1.00283822138127","2","1","1"
"222","26","IBOVESPA","Índice Bovespa","AMER","_YF.csv","1950-01-01 to 2021-07-15","7157","1","769","180","352","326","6677","289","6809","4","1.0718885727123","180","1.05110882655309","326"
"223","26","IBOVESPA","Índice Bovespa","AMER","_YF.csv","2010-01-01 to 2021-07-15","2859","0","192","11","26","22","2758","91","2835","2","1.03662073966642","11","1.00846560846561","22"
"224","26","IBOVESPA","Índice Bovespa","AMER","_YF.csv","2000-01-01 to 2009-12-31","2554","0","198","78","145","143","2416","60","2411","2","1.05711920529801","78","1.05931148900871","143"
"225","26","IBOVESPA","Índice Bovespa","AMER","_YF.csv","1990-01-01 to 1999-12-31","1744","1","245","91","177","161","1576","77","1569","2","1.10659898477157","91","1.11153601019758","161"
"226","26","IBOVESPA","Índice Bovespa","AMER","_IN.csv","1950-01-01 to 2021-07-15","836","2","2","0","2","0","835","1","835","1","1.00119760479042","2","1.00119760479042","2"
"227","26","IBOVESPA","Índice Bovespa","AMER","_IN.csv","2010-01-01 to 2021-07-15","836","2","2","0","2","0","835","1","835","1","1.00119760479042","2","1.00119760479042","2"
"228","26","IBOVESPA","Índice Bovespa","AMER","_EI.csv","1950-01-01 to 2021-07-15","4941","4","0","0","0","0","4941","0","4941","0","1","1","1","1"
"229","26","IBOVESPA","Índice Bovespa","AMER","_EI.csv","2010-01-01 to 2021-07-15","2853","4","0","0","0","0","2853","0","2853","0","1","1","1","1"
"230","26","IBOVESPA","Índice Bovespa","AMER","_EI.csv","2000-01-01 to 2009-12-31","2088","2","0","0","0","0","2088","0","2088","0","1","1","1","1"
"231","27","IBX50","Brazil 50 Index","AMER","_YF.csv","1950-01-01 to 2021-07-15","2128","2","31","15","34","30","2106","9","2096","2","1.01044634377968","15","1.01526717557252","30"
"232","27","IBX50","Brazil 50 Index","AMER","_YF.csv","2010-01-01 to 2021-07-15","2128","2","31","15","34","30","2106","9","2096","2","1.01044634377968","15","1.01526717557252","30"
"233","27","IBX50","Brazil 50 Index","AMER","_IN.csv","1950-01-01 to 2021-07-15","4586","2","24","0","2","0","4574","12","4585","1","1.0026235242676","2","1.00021810250818","2"
